,total,children,working,elderly,p_children,p_working,p_elderly_60plus,dependency_ratio,p_preschool,p_primary,p_junior_sec,p_senior_plus,p_school_age,education_dependency_ratio,p_elderly,Edu_Count,Health_Count,dist_school_km,dist_hospital_km
total,1.0,0.9823280274735442,0.9953145335694471,0.9034156130079188,0.12043869549566202,0.04589425149275134,-0.1699037708915613,-0.04321794624011679,0.028023687508682057,0.09867007839785574,0.1176137059858485,0.0703988368933696,0.14584328418946008,0.09304220124843496,-0.17961906150989684,0.19287793005463716,-0.010927977529619744,-0.056839652556634264,0.1293754713592415
children,0.9823280274735442,1.0,0.9657033830590753,0.868973732433319,0.2789637936271187,-0.05627909997697692,-0.21055292113327492,0.05998844119431729,0.1320309210450057,0.22019907720675264,0.21140207290570354,0.04979368056655099,0.2853157498906874,0.24473849131813727,-0.21885847781457596,0.1825425275783439,-0.012308486871919289,-0.0399331950490488,0.13272831704536225
working,0.9953145335694471,0.9657033830590753,1.0,0.8753678912407671,0.06824729787529549,0.12973249493643219,-0.21302005969658877,-0.12649840840782978,0.009938155867190282,0.055717719962458445,0.07290273350579818,0.09751590886586857,0.10934761765350486,0.02763265287946662,-0.22047085668700747,0.19120103997205917,-0.009129030156061554,-0.03473647915035814,0.15327464266066768
elderly,0.9034156130079188,0.868973732433319,0.8753678912407671,1.0,0.003836678517280384,-0.1895141950491961,0.20952979443984213,0.185929231755524,-0.1331900196633731,0.025195933756163597,0.12070230630947372,-0.046287772536401615,-0.01784445134010053,0.07448452449050998,0.18483636690940697,0.19608975575857848,-0.016014947639195008,-0.21698253272597218,-0.03862775397968692
p_children,0.12043869549566202,0.2789637936271187,0.06824729787529549,0.003836678517280384,1.0,-0.5568665394485471,-0.35507956311204575,0.5650403048317794,0.6426425983998201,0.7832666753725508,0.5901385062773613,-0.1130052311955516,0.8876799449028467,0.9230132714108096,-0.33750693152242184,-0.029555002761622304,0.002946132361334013,0.11237800365302554,0.05632799771037671
p_working,0.04589425149275134,-0.05627909997697692,0.12973249493643219,-0.1895141950491961,-0.5568665394485471,1.0,-0.5787447793047544,-0.997231285466616,-0.17911720075706336,-0.4727053869809856,-0.47800954227379533,0.4082421210573007,-0.3342908842084767,-0.7048415456529211,-0.550977169462892,0.009247138343033012,0.011803279321974851,0.2550666113850954,0.24034990354994445
p_elderly_60plus,-0.1699037708915613,-0.21055292113327492,-0.21302005969658877,0.20952979443984213,-0.35507956311204575,-0.5787447793047544,1.0,0.567603376555626,-0.4293698184956658,-0.23700732537343783,-0.04141879362074613,-0.34852157715802506,-0.4953077002175663,-0.11294707624313029,0.9514944597277624,0.018610362487415343,-0.016177096021477703,-0.3971345448516538,-0.32558630006510575
dependency_ratio,-0.04321794624011679,0.05998844119431729,-0.12649840840782978,0.185929231755524,0.5650403048317794,-0.997231285466616,0.567603376555626,1.0,0.18667530224206028,0.4746727244871769,0.4845390778965387,-0.4128894239718186,0.3398209341880575,0.7126682567774568,0.540174959031145,-0.004831213692478231,-0.013308181228708861,-0.252698487225205,-0.23794717932397236
p_preschool,0.028023687508682057,0.1320309210450057,0.009938155867190282,-0.1331900196633731,0.6426425983998201,-0.17911720075706336,-0.4293698184956658,0.18667530224206028,1.0,0.35021053094556476,-0.08090827359109155,-0.18213572881994014,0.5197090391903145,0.4730477272217608,-0.45004417854627426,-0.06003708078695307,-0.042999505137919614,0.278750025668218,0.18948862662653004
p_primary,0.09867007839785574,0.22019907720675264,0.055717719962458445,0.025195933756163597,0.7832666753725508,-0.4727053869809856,-0.23700732537343783,0.4746727244871769,0.35021053094556476,1.0,0.26472187533678215,-0.15643753141535716,0.6638119930400649,0.7110783355960287,-0.21078294721508165,-0.014457099174245886,0.008732176758237955,0.062114681413088346,-0.0223534987417467
p_junior_sec,0.1176137059858485,0.21140207290570354,0.07290273350579818,0.12070230630947372,0.5901385062773613,-0.47800954227379533,-0.04141879362074613,0.4845390778965387,-0.08090827359109155,0.26472187533678215,1.0,0.10758850969473632,0.6046193396882644,0.6784802192784504,-0.009765107636705525,0.0165799741141775,0.041775864316827824,-0.12141101250714294,-0.06274634012277647
p_senior_plus,0.0703988368933696,0.04979368056655099,0.09751590886586857,-0.046287772536401615,-0.1130052311955516,0.4082421210573007,-0.34852157715802506,-0.4128894239718186,-0.18213572881994014,-0.15643753141535716,0.10758850969473632,1.0,0.35719897192213895,0.07025802521781609,-0.28342423939624267,0.02869023225186355,0.029417824157014175,0.13409981998410622,0.1162749074258329
p_school_age,0.14584328418946008,0.2853157498906874,0.10934761765350486,-0.01784445134010053,0.8876799449028467,-0.3342908842084767,-0.4953077002175663,0.3398209341880575,0.5197090391903145,0.6638119930400649,0.6046193396882644,0.35719897192213895,1.0,0.9002381825133455,-0.4486205209740328,-0.014487276750672604,0.016402599838972295,0.16775890397631193,0.10680539912023194
education_dependency_ratio,0.09304220124843496,0.24473849131813727,0.02763265287946662,0.07448452449050998,0.9230132714108096,-0.7048415456529211,-0.11294707624313029,0.7126682567774568,0.4730477272217608,0.7110783355960287,0.6784802192784504,0.07025802521781609,0.9002381825133455,1.0,-0.09197108505365305,-0.009610049875741399,0.005726603377361876,0.004920818699716888,-0.035137451708919534
p_elderly,-0.17961906150989684,-0.21885847781457596,-0.22047085668700747,0.18483636690940697,-0.33750693152242184,-0.550977169462892,0.9514944597277624,0.540174959031145,-0.45004417854627426,-0.21078294721508165,-0.009765107636705525,-0.28342423939624267,-0.4486205209740328,-0.09197108505365305,1.0,0.01812475249046977,-0.014688285595492767,-0.40130387273634616,-0.3263518198792905
Edu_Count,0.19287793005463716,0.1825425275783439,0.19120103997205917,0.19608975575857848,-0.029555002761622304,0.009247138343033012,0.018610362487415343,-0.004831213692478231,-0.06003708078695307,-0.014457099174245886,0.0165799741141775,0.02869023225186355,-0.014487276750672604,-0.009610049875741399,0.01812475249046977,1.0,0.09199263618586258,-0.20536285162760312,-0.08021972328104096
Health_Count,-0.010927977529619744,-0.012308486871919289,-0.009129030156061554,-0.016014947639195008,0.002946132361334013,0.011803279321974851,-0.016177096021477703,-0.013308181228708861,-0.042999505137919614,0.008732176758237955,0.041775864316827824,0.029417824157014175,0.016402599838972295,0.005726603377361876,-0.014688285595492767,0.09199263618586258,1.0,-0.11076844023218795,-0.10520024030373328
dist_school_km,-0.056839652556634264,-0.0399331950490488,-0.03473647915035814,-0.21698253272597218,0.11237800365302554,0.2550666113850954,-0.3971345448516538,-0.252698487225205,0.278750025668218,0.062114681413088346,-0.12141101250714294,0.13409981998410622,0.16775890397631193,0.004920818699716888,-0.40130387273634616,-0.20536285162760312,-0.11076844023218795,1.0,0.5935024316267641
dist_hospital_km,0.1293754713592415,0.13272831704536225,0.15327464266066768,-0.03862775397968692,0.05632799771037671,0.24034990354994445,-0.32558630006510575,-0.23794717932397236,0.18948862662653004,-0.0223534987417467,-0.06274634012277647,0.1162749074258329,0.10680539912023194,-0.035137451708919534,-0.3263518198792905,-0.08021972328104096,-0.10520024030373328,0.5935024316267641,1.0
